step,x,y,speed,action,progress,on_track
153,139.23245696093883,509.8102945960106,27.022046962760623,"[False, False, False, False, True]",341.11152807942284,True
154,135.69472246918156,509.5077456846358,26.629859955683337,"[True, False, False, False, True]",345.36938618281954,True
155,132.21036387618793,509.1925968770876,26.23936238973904,"[True, False, False, False, True]",348.7605843889425,True
156,128.77912637402088,508.86629613630373,25.85038282204715,"[True, False, False, False, True]",350.6388301073995,True
157,125.40076784878234,508.53019564194335,25.46277047061191,"[True, False, False, False, True]",354.61099194257815,True
158,122.07505824872952,508.18555783854936,25.07639278717952,"[True, False, False, False, True]",358.7370127106125,True
159,118.80177897191115,507.8335611199347,24.691133305510338,"[True, False, False, False, True]",360.826235444619,True
160,115.58072227425176,507.4753051698454,24.30688973544812,"[True, False, False, False, True]",365.0255010705461,True
161,112.45382006881655,507.1183141540126,23.60410979703371,"[False, False, False, False, True]",367.1295101211553,True
162,109.37872109256652,506.7570314263349,23.22186877539546,"[True, False, False, True, True]",371.339985256244,True
163,106.35964743425414,506.377432992792,22.821331376255007,"[True, False, False, True, True]",373.44571359025576,True
164,103.44330082710871,505.9795970072369,22.075178232533744,"[False, False, False, False, True]",377.6578954701085,True
165,100.62863630699206,505.56688464125637,21.335711073299542,"[False, False, False, False, True]",379.76435808082897,True
166,97.91466425551774,505.1424432844093,20.60220753558245,"[False, False, False, False, True]",381.87103929946176,True
167,95.25970313918421,504.69712250004847,20.19036932736123,"[True, False, False, True, True]",386.08452219535906,True
168,92.67013915073647,504.2218643962502,19.746108356999894,"[True, False, False, True, True]",388.1909026667931,True
169,90.15321330713323,503.7098971474999,19.263507516467268,"[True, False, False, True, True]",390.296728154916,True
170,87.71666643183607,503.15669395466006,18.739188555137023,"[True, False, False, True, True]",392.40179217942256,True
171,85.36840402814101,502.55988127568367,18.171869608950594,"[True, False, False, True, True]",394.5059257874741,True
172,83.11618848364019,501.91910341956117,17.56196886707422,"[True, False, False, True, True]",396.60899539202035,True
173,80.99910626089726,501.2622216544451,16.6248641198893,"[False, False, False, True, True]",400.8113134997613,True
174,78.9918753789246,500.5657462497448,15.934727058000323,"[True, False, False, True, True]",402.9100037737304,True
175,77.10018266972087,499.8343264312933,15.211280006935603,"[True, False, False, True, True]",402.9100037737304,True
176,75.32871391333418,499.0737640614588,14.45877978499612,"[True, False, False, True, True]",405.0063384054607,True
177,73.68104772122805,498.29077341544854,13.68185479274045,"[True, False, False, True, True]",407.0993412949658,True
178,72.1595904989722,497.49274203699844,12.885353953546844,"[True, False, False, True, True]",409.1874754023045,True
179,70.76555014729693,496.6874992163222,12.074218536086043,"[True, False, False, True, True]",411.26844182422394,True
180,69.43035015024564,495.8420553551278,11.852691991435314,"[True, False, False, True, False]",413.3389217263451,True
181,68.15805835726437,494.961359584304,11.605269014845927,"[True, False, False, True, False]",413.3389217263451,True
182,66.95196270105369,494.0507522468708,11.334364807482865,"[True, False, False, False, False]",415.394340854812,True
183,65.80873318365728,493.11018862785716,11.10312536454439,"[True, False, False, False, False]",417.4286487324947,True
184,64.72520894480236,492.1396275351905,10.909893015360913,"[True, False, False, False, False]",419.43424150966274,True
185,63.698389669726346,491.13903111973264,10.752894695340705,"[True, False, False, False, False]",421.4021185732524,True
186,62.72542743348587,490.108364704458,10.63025133596517,"[True, False, False, False, False]",447.06446000120826,True
187,61.80361895957492,489.04759662231123,10.539994686928882,"[True, False, False, False, False]",447.06446000120826,True
188,60.930398271805146,487.95669806230177,10.480090153482205,"[True, False, False, False, False]",447.06446000120826,True
189,60.152377317244365,486.8987626291256,9.849142056084053,"[True, False, False, True, True]",449.0262093399718,True
190,59.46861026062802,485.8796479916273,9.204342823055727,"[True, False, False, True, True]",449.0262093399718,True
