model_name,x,y,speed,progress,thr,rev,brk,time
ppo_T3,475.5798298338781,510.5281767969406,100.42288267726788,4.221485982198884,1.0,0.0,0.0,0.04
ppo_T3,471.5341565090283,510.5327205512498,101.1418969106792,8.439239673596443,1.0,0.0,0.0,0.08
ppo_T3,467.4597453228384,510.53703348284006,101.86033672242333,12.653731763137715,1.0,0.0,0.0,0.12
ppo_T3,463.3566192655974,510.5411273175055,102.57820248806627,16.86645264661089,1.0,0.0,0.0,0.16
ppo_T3,459.2248013092022,510.54501318537,103.29549459184722,21.079398009586463,1.0,0.0,0.0,0.2
ppo_T3,455.0643144071721,510.548701651147,104.0122134257071,25.294461884817235,1.0,0.0,0.0,0.24
ppo_T3,450.8751814946637,510.5522027428625,104.72835938842236,29.51289380746515,1.0,0.0,0.0,0.28
ppo_T3,446.6574254884852,510.5555259791189,105.4439328848325,33.73490806245803,1.0,0.0,0.0,0.32
ppo_T3,442.4110692871117,510.55868039497335,106.1589343251509,37.95970261919995,1.0,0.0,0.0,0.36
ppo_T3,438.1361357706992,510.56167456650246,106.87336412434988,42.18587463236319,1.0,0.0,0.0,0.3999999999999999
ppo_T3,433.8326478011,510.5645166341179,107.58722270161242,46.41182243176803,1.0,0.0,0.0,0.4399999999999999
ppo_T3,429.5006282218764,510.5672143246985,108.30051047984254,50.63595256105219,1.0,0.0,0.0,0.4799999999999999
ppo_T3,425.14009985831615,510.5697749725976,109.01322788522882,54.85693498789338,1.0,0.0,0.0,0.5199999999999999
ppo_T3,420.7510855174468,510.5722055395834,109.7253753468545,59.074167442933934,1.0,0.0,0.0,0.5599999999999999
ppo_T3,416.33360798805006,510.5745126337664,110.43695329634978,63.28811784119786,1.0,0.0,0.0,0.6
ppo_T3,411.8876900406769,510.5767025275648,111.14796216758121,67.50010869432553,1.0,0.0,0.0,0.64
ppo_T3,407.4133544276616,510.5787811747583,111.85840239637481,71.71163607499322,1.0,0.0,0.0,0.68
ppo_T3,402.9106238831368,510.5807542266743,112.5682744202685,78.0298536358866,1.0,0.0,0.0,0.7200000000000001
ppo_T3,398.3795211230475,510.582627047553,113.2775786782913,82.24232690342328,1.0,0.0,0.0,0.7600000000000001
ppo_T3,393.8200688451663,510.5844047291311,113.9863156107663,86.45432982656557,1.0,0.0,0.0,0.8000000000000002
ppo_T3,389.2322897291074,510.586092104485,114.69448565913444,90.66588487667563,1.0,0.0,0.0,0.8400000000000002
ppo_T3,384.61620643634143,510.5876937611709,115.4020892657973,94.87795197917696,1.0,0.0,0.0,0.8800000000000002
ppo_T3,379.9718416102097,510.5892140536972,116.10912687397699,101.20017130717711,1.0,0.0,0.0,0.9200000000000004
ppo_T3,375.2992178759388,510.5906571153631,116.81559892759046,105.4193129810934,1.0,0.0,0.0,0.9600000000000004
ppo_T3,370.5983578406553,510.5920268694964,117.52150587113775,109.64204742599328,1.0,0.0,0.0,1.0000000000000002
ppo_T3,365.8692840934,510.5933270401197,118.22684814960203,113.86755140500544,1.0,0.0,0.0,1.0400000000000005
ppo_T3,361.1120192051426,510.5945611620754,118.93162620836014,120.20858548661076,1.0,0.0,0.0,1.0800000000000003
ppo_T3,356.3265857287957,510.59573259063575,119.63584049310302,124.43640432264164,1.0,0.0,0.0,1.1200000000000003
ppo_T3,351.51300619923,510.5968445106252,120.33949144976432,128.6636044346831,1.0,0.0,0.0,1.1600000000000004
ppo_T3,346.6713031332879,510.5978999450792,121.04257952445685,132.88919812330704,1.0,0.0,0.0,1.2000000000000004
ppo_T3,341.8014990297985,510.5989017634629,121.74510516341577,139.22221567612866,1.0,0.0,0.0,1.2400000000000004
ppo_T3,336.903616369592,510.5998526894728,122.4470688129478,143.4397245932658,1.0,0.0,0.0,1.2800000000000005
ppo_T3,331.9776776155136,510.6007553084413,123.14847091938574,147.65410350363828,1.0,0.0,0.0,1.3200000000000005
ppo_T3,327.0237052124385,510.60161207436624,123.84931192904828,153.97316580271874,1.0,0.0,0.0,1.3600000000000003
ppo_T3,322.0417215872858,510.6024253165822,124.54959228820343,158.18708413757426,1.0,0.0,0.0,1.4000000000000006
ppo_T3,317.03174914903326,510.6031972460936,125.24931244303657,162.403968824581,1.0,0.0,0.0,1.4400000000000006
ppo_T3,311.9938102887313,510.6039299615858,125.94847283962137,168.7361595658841,1.0,0.0,0.0,1.4800000000000006
ppo_T3,306.9279273795176,510.604625455131,126.64707392389403,172.9613747697306,1.0,0.0,0.0,1.520000000000001
ppo_T3,301.83412277663126,510.60528561760407,127.34511614163047,179.30187737956953,1.0,0.0,0.0,1.5600000000000007
ppo_T3,296.71241881742725,510.6059122438235,128.04259993842544,183.5288922616636,1.0,0.0,0.0,1.6000000000000008
ppo_T3,291.5628378213906,510.6065070374311,128.73952575967454,189.86641085673085,1.0,0.0,0.0,1.6400000000000008
