model_name,x,y,speed,progress,thr,rev,brk,time
ppo_track_v5_960252_steps,474.2877476084968,510.9028497180382,100.43378428623348,6.330827325767106,1.0,0.0,0.0,0.04
ppo_track_v5_960252_steps,470.2416387403008,510.9075289523281,101.15278934774923,10.546819549066598,1.0,0.0,0.0,0.08
ppo_track_v5_960252_steps,466.1667923591993,510.9119704815161,101.87122004262727,14.760193265681012,1.0,0.0,0.0,0.12
ppo_track_v5_960252_steps,462.0632314552027,510.9161863810213,102.5890767413193,18.972769858080053,1.0,0.0,0.0,0.16
ppo_track_v5_960252_steps,457.93097899992927,510.9201881128316,103.30635982349597,23.186566332396907,1.0,0.0,0.0,0.2
ppo_track_v5_960252_steps,453.77005794662006,510.923986556666,104.0230696770169,27.403216717001445,1.0,0.0,0.0,0.24
ppo_track_v5_960252_steps,449.5804912301536,510.92759203955353,104.73920669701215,31.62348328443753,1.0,0.0,0.0,0.28
ppo_track_v5_960252_steps,445.36230176706016,510.9310143639104,105.45477128506303,35.847037171066084,1.0,0.0,0.0,0.32
ppo_track_v5_960252_steps,441.11551245553727,510.93426283419,106.16976384847128,40.07271498810195,1.0,0.0,0.0,0.36
ppo_track_v5_960252_steps,436.8401461754636,510.93734628217936,106.88418479960716,44.29897816134598,1.0,0.0,0.0,0.3999999999999999
ppo_track_v5_960252_steps,432.536225788414,510.94027309101085,107.59803455532789,48.52420900893191,1.0,0.0,0.0,0.4399999999999999
ppo_track_v5_960252_steps,428.203774137674,510.9430512179537,108.31131353645858,52.74689780558138,1.0,0.0,0.0,0.4799999999999999
ppo_track_v5_960252_steps,423.8428140482546,510.9456882160479,109.02402216732924,56.96601664258752,1.0,0.0,0.0,0.5199999999999999
ppo_track_v5_960252_steps,419.45336832690674,510.94819125463886,109.73616087536143,61.18148367407845,1.0,0.0,0.0,0.5599999999999999
ppo_track_v5_960252_steps,415.035459762136,510.9505671388694,110.44773009069948,65.3942593724105,1.0,0.0,0.0,0.6
ppo_track_v5_960252_steps,410.589111124217,510.952822328181,111.15873024588129,69.60585144094487,1.0,0.0,0.0,0.64
ppo_track_v5_960252_steps,406.1143451652084,510.9549629538757,111.86916177554443,73.81755615019415,1.0,0.0,0.0,0.68
ppo_track_v5_960252_steps,401.611184618967,510.956994835785,112.57902511616379,78.0298536358866,1.0,0.0,0.0,0.7200000000000001
ppo_track_v5_960252_steps,397.07965220116256,510.9589234980933,113.28832070581753,82.24232690342328,1.0,0.0,0.0,0.7600000000000001
