model_name,x,y,speed,progress,thr,brk,rev
ppo_T1,473.97316895184036,515.9031766574026,101.02618449207628,6.330827325767106,1.0,0.0,0.0
ppo_T1,469.903398476899,515.9147774926286,101.74467522333303,10.546819549066598,1.0,0.0,0.0
ppo_T1,465.80490941833756,515.925789005425,102.46259627469462,14.760193265681012,1.0,0.0,0.0
ppo_T1,461.677724751023,515.9362411333715,103.1799475585465,18.972769858080053,1.0,0.0,0.0
ppo_T1,457.5218674314423,515.9461622932182,103.89672904537618,23.186566332396907,1.0,0.0,0.0
ppo_T1,453.33736039771725,515.9555794581447,104.61294075749443,27.403216717001445,1.0,0.0,0.0
ppo_T1,449.12422656961917,515.964518231093,105.32858276343521,31.623483284437526,1.0,0.0,0.0
ppo_T1,444.8824888485836,515.9730029143756,106.04365517295993,35.847037171066084,1.0,0.0,0.0
ppo_T1,440.6121701177248,515.9810565757473,106.75815813260091,40.07271498810195,1.0,0.0,0.0
ppo_T1,436.3132932418507,515.9887011111214,107.47209182168507,44.29897816134598,1.0,0.0,0.0
ppo_T1,431.98588106747735,515.9959573040984,108.18545644878584,48.524209008931905,1.0,0.0,0.0
ppo_T1,427.62995642284346,516.0028448824722,108.89825224855717,52.74689780558138,1.0,0.0,0.0
ppo_T1,423.2455421179253,516.0093825718646,109.61047947890769,56.96601664258752,1.0,0.0,0.0
ppo_T1,418.83266094445105,516.015588146636,110.32213841847877,61.18148367407845,1.0,0.0,0.0
ppo_T1,414.39133567591557,516.0214784782089,111.03322936439338,65.3942593724105,1.0,0.0,0.0
ppo_T1,409.92158906759494,516.0270695809379,111.74375263024629,69.60585144094487,1.0,0.0,0.0
ppo_T1,405.423443856561,516.0323766556482,112.45370854431009,73.81755615019415,1.0,0.0,0.0
ppo_T1,400.89692276169586,516.0374141309634,113.16309744793321,78.0298536358866,1.0,0.0,0.0
ppo_T1,396.3420484837066,516.0421957025325,113.87191969410955,84.34840895663737,1.0,0.0,0.0
ppo_T1,391.7588437051397,516.0467343702659,114.58017564620114,88.56012252193192,1.0,0.0,0.0
ppo_T1,387.1473310903957,516.0510424736784,115.28786567679757,92.77176706445435,1.0,0.0,0.0
ppo_T1,382.5075332857435,516.0551317254376,115.99499016669702,96.98463288754543,1.0,0.0,0.0
ppo_T1,377.839472919335,516.0590132432075,116.70154950399638,101.20017130717713,1.0,0.0,0.0
ppo_T1,373.14317260121965,516.0626975798746,117.40754408327835,107.5302692387437,1.0,0.0,0.0
ppo_T1,368.41865492335876,516.066194752239,118.11297430488533,111.75452278609221,1.0,0.0,0.0
ppo_T1,363.6659424596402,516.0695142682473,118.81784057427062,115.9809902787091,1.0,0.0,0.0
ppo_T1,358.88505776589255,516.0726651528424,119.5221433014189,122.32251822313279,1.0,0.0,0.0
ppo_T1,354.07602337989994,516.0756559725,120.22588290032826,126.55013850956384,1.0,0.0,0.0
ppo_T1,349.23886182141615,516.0784948585191,120.92905978854755,130.77667152936786,1.0,0.0,0.0
ppo_T1,344.37359559217913,516.0811895291283,121.63167438676273,137.1120782900282,1.0,0.0,0.0
ppo_T1,339.4802471759255,516.0837473104707,122.33372711842735,141.33142008900705,1.0,0.0,0.0
ppo_T1,334.55883903840487,516.0861751565209,123.03521840943233,145.54723122811632,1.0,0.0,0.0
ppo_T1,329.68932961779257,516.0884404884464,121.73774868842155,151.8668208758029,1.0,1.0,0.0
ppo_T1,324.87167739617956,516.0905537974714,120.44131712811368,156.07984235070572,1.0,1.0,0.0
ppo_T1,320.1058408887543,516.0925249170849,119.1459228761631,160.29508276653016,1.0,1.0,0.0
ppo_T1,315.39177864378894,516.0943630633107,117.85156508344886,164.51379882403148,1.0,1.0,0.0
ppo_T1,310.7294492426243,516.0960768725597,116.55824290377898,168.7361595658841,1.0,1.0,0.0
ppo_T1,306.11881129965354,516.0976744372068,115.26595549362838,175.07467463323624,1.0,1.0,0.0
ppo_T1,301.55982346230456,516.099163339027,113.97470201190679,179.30187737956953,1.0,1.0,0.0
ppo_T1,297.0950854771168,516.1005471925015,111.61845499129167,183.52889226166357,0.0,1.0,0.0
ppo_T1,292.68188087853196,516.1018361462303,110.33011967039079,187.75451125871928,1.0,1.0,0.0
ppo_T1,288.3218310112159,516.0820098821705,109.00237361586707,191.97751903700703,1.0,1.0,0.0
ppo_T1,284.01957728004345,516.0224420243084,107.56665229369915,196.19703064305466,1.0,1.0,0.0
ppo_T1,279.7746586844227,515.9263103674,106.15017421943605,200.41299566420915,1.0,1.0,0.0
ppo_T1,275.62480001163794,515.8194150083835,103.78087980772897,204.62640370840367,0.0,1.0,0.0
ppo_T1,271.44628682579145,515.717949933605,104.4936230281932,208.83900874371307,1.0,0.0,0.0
ppo_T1,267.31905485057763,515.6235650257116,103.2077767420697,213.0528242676109,1.0,1.0,0.0
ppo_T1,263.243065686716,515.5357883814569,101.92335479170686,217.2695436850437,1.0,1.0,0.0
