model_name,x,y,speed,progress,thr,brk,rev
ppo_T1,475.39094744509407,515.2136193141291,100.78383760624683,4.2214859821988835,1.0,0.0,0.0
ppo_T1,471.3308700309786,515.2272102947712,101.502504043513,8.439239673596443,1.0,0.0,0.0
ppo_T1,467.2420662787944,515.2401108535967,102.22060258423153,12.653731763137717,1.0,0.0,0.0
ppo_T1,463.124559169612,515.2523560640338,102.93813293474666,16.86645264661089,1.0,0.0,0.0
ppo_T1,458.9783716661169,515.2639792177807,103.65509488154045,21.079398009586463,1.0,0.0,0.0
ppo_T1,454.8035267126246,515.2750119153174,104.3714882825854,25.294461884817235,1.0,0.0,0.0
ppo_T1,450.60004723509513,515.2854841518191,105.08731305963211,29.51289380746515,1.0,0.0,0.0
ppo_T1,446.36795614114766,515.2954243987066,105.8025691913295,33.73490806245803,1.0,0.0,0.0
ppo_T1,442.10727632007536,515.3048596810521,106.5172567070876,37.95970261919995,1.0,0.0,0.0
ppo_T1,437.8180306428599,515.3138156510545,107.23137568160196,42.18587463236319,1.0,0.0,0.0
ppo_T1,433.50024196218624,515.3223166577808,107.94492622996796,46.41182243176803,1.0,0.0,0.0
ppo_T1,429.1539331124571,515.3303858133654,108.65790850332102,50.63595256105219,1.0,0.0,0.0
ppo_T1,424.7791269098077,515.3380450558464,109.3703226849459,54.85693498789338,1.0,0.0,0.0
ppo_T1,420.37584615212046,515.3453152088092,110.082168986804,59.074167442933934,1.0,0.0,0.0
ppo_T1,415.94411361903934,515.3522160380015,110.79344764643376,63.28811784119786,1.0,0.0,0.0
ppo_T1,411.48395207198473,515.358766305071,111.50415892418376,67.50010869432553,1.0,0.0,0.0
ppo_T1,406.99538425416773,515.3649838185733,112.21430310074243,73.81755615019415,1.0,0.0,0.0
ppo_T1,402.478432890605,515.3708854823896,112.92388047493266,78.0298536358866,1.0,0.0,0.0
ppo_T1,397.9331206881331,515.376487341684,113.6328913617425,82.24232690342328,1.0,0.0,0.0
ppo_T1,393.3594703354232,515.3818046265263,114.34133609056673,86.45432982656557,1.0,0.0,0.0
ppo_T1,388.7575045029955,515.3868517932987,115.04921500363635,90.66588487667565,1.0,0.0,0.0
ppo_T1,384.1272458432337,515.391642563999,115.75652845461612,94.87795197917696,1.0,0.0,0.0
