lap_time,s1,s2,s3,timestamp
54.35999999999902,17.159999999999812,29.83999999999954,41.51999999999929,1632244
53.079999999999046,14.719999999999862,28.43999999999957,40.15999999999932,1637596
52.83999999999905,14.879999999999859,28.199999999999577,39.75999999999933,1642928
52.599999999999056,14.439999999999868,28.03999999999958,39.59999999999933,1650536
52.39999999999906,14.559999999999865,27.839999999999584,39.39999999999934,1653784
52.159999999999066,14.639999999999864,27.51999999999959,39.15999999999934,1685864
52.07999999999907,15.039999999999855,27.479999999999592,39.039999999999345,1707772
51.79999999999907,14.559999999999865,27.279999999999596,38.79999999999935,1708080
51.55999999999908,14.559999999999865,26.839999999999606,38.599999999999355,1712908
51.43999999999908,14.519999999999866,26.67999999999961,38.43999999999936,1807188
51.39999999999908,14.599999999999865,26.759999999999607,38.51999999999936,1843576
51.03999999999909,14.519999999999866,26.519999999999612,38.159999999999364,2586820
50.91999999999909,14.479999999999867,26.67999999999961,38.23999999999936,2891680
