timesteps,progress
410000,65.3750316554
420000,366.7480841705163
430000,182.39014480563523
440000,236.13641212487727
450000,372.2613099118703
460000,311.9862674038974
470000,261.4633890861518
480000,271.1750489222923
490000,322.61493285389497
500000,429.7153024906988
510000,251.85782274368444
520000,527.4248977851814
530000,607.0933742581209
540000,198.4656147757005
550000,414.53889435131634
560000,342.44485937285486
570000,82.0196174457133
580000,208.96533414105016
590000,131.290700355801
600000,311.8127408622617
610000,376.28739398599333
620000,160.80649202662892
630000,352.1831280638561
640000,653.985407726334
650000,307.12921909007787
660000,844.1310217028264
670000,361.8719386668761
680000,289.3151566852856
690000,351.535592781964
700000,759.3257240369267
710000,93.24751076728882
720000,428.89476565332563
730000,587.5558076265472
740000,541.9997360822153
750000,511.07555137986435
760000,434.8305635667955
770000,609.4065021371221
780000,643.7741207312633
790000,165.36348920030377
800000,928.4937398936544
810000,547.6042131350723
820000,613.389421879365
830000,408.9426342921517
840000,886.5369878864418
850000,814.4607377438467
860000,450.5484931424671
870000,195.95239156818184
880000,612.3141296731269
890000,695.4034801383882
900000,823.0757658114336
910000,438.2434074562235
920000,1641.8555905257333
930000,442.4686566071001
940000,142.70830519818315
950000,624.1766551040841
960000,1063.510665320082
970000,973.5037061643557
980000,213.24525411190913
990000,1072.9493109138173
1000000,1112.0919008517162
1010000,821.6525186066656
1020000,347.0024226727172
1030000,1538.9434650238272
1040000,371.64900200542087
1050000,750.7867145077728
1060000,845.1600771429877
1070000,888.4556378474952
1080000,743.9079846678829
1090000,2461.3282998857308
1100000,774.1849899086395
1110000,1756.564569302783
1120000,1107.45071811026
1130000,1495.0374243041015
1140000,639.5084068383405
1150000,1924.7632610837522
1160000,1424.7221806087582
1170000,852.3754627951666
1180000,2523.8823966249392
1190000,3139.240536550425
1200000,1314.1269198224418
1210000,1807.318450470399
1220000,494.15666750667964
1230000,1403.961266951646
1240000,2272.9948260712563
1250000,1281.9916266064865
1260000,617.690855077911
1270000,320.7102251349202
1280000,597.2112597882069
1290000,804.8877167183915
1300000,1654.3257373234226
1310000,4309.284139658654
1320000,986.77406847947
1330000,1945.4686361302158
1340000,1831.9705358973965
1350000,221.18185847345342
1360000,497.32577897217084
1370000,2041.8042968786908
1380000,1805.4938344534994
1390000,1203.9537536776838
1400000,2446.936759706196
1410000,1048.5174089663294
1420000,4669.0062769578235
1430000,1564.235681034934
1440000,2418.404864376051
1450000,280.13734499007325
1460000,3222.7968269180265
1470000,1982.822443530768
1480000,1799.7238121146074
1490000,2431.4233918080936
1500000,3054.2044115785807
1510000,3387.494342030953
1520000,1176.2611817228242
1530000,1395.4509802593234
1540000,798.5135583913305
1550000,1532.8996103986133
1560000,1468.2468092509528
1570000,701.9855581409556
1580000,841.3656476264466
1590000,927.9060466092557
1600000,507.8026481071517
1610000,2195.0940289632954
1620000,1094.6395266405668
1630000,2859.2605535606035
1640000,3893.4780334098778
1650000,1097.9746598469123
1660000,2227.68014254651
1670000,2254.489555529842
1680000,892.7212356389545
1690000,1163.7521077282718
1700000,2226.3254110602297
1710000,2528.434517172035
1720000,3343.4966507450777
1730000,1047.208119365906
1740000,2350.2479035169195
1750000,1381.3797844416813
1760000,2510.0441326879845
1770000,2303.8530297781144
1780000,731.9827802224629
1790000,1747.4333336930374
1800000,2787.146818589626
1810000,756.3033797274768
1820000,1852.0439401368064
1830000,1394.1442368167573
1840000,1785.9013940476466
1850000,2437.8705854632612
1860000,3791.789020146234
1870000,1990.7280262057575
1880000,858.1535922070036
1890000,870.9848846392676
1900000,2684.41063542646
1910000,2151.3205764646837
1920000,214.7102292559028
1930000,1307.9644784691145
1940000,2579.618727925674
1950000,572.3964987231975
1960000,1794.893801468892
1970000,1237.9044786638228
1980000,1236.8321497379884
1990000,1179.224999173618
2000000,1223.5524948877958
2010000,2457.418447949858
2020000,1750.974279792076
2030000,2194.4633125534237
2040000,3103.758761504375
2050000,1495.8442290580947
2060000,3972.84611099036
2070000,1040.7237064900237
2080000,3348.801030216702
2090000,2289.518001398693
2100000,3208.8760521400563
2110000,4175.457493759072
2120000,4031.7309837434022
2130000,4655.863504266288
2140000,2997.980770211185
2150000,3578.9982131678316
2160000,2194.9847951688153
2170000,3216.389658209219
2180000,1056.3659179809304
2190000,1662.5041101015586
2200000,1546.5181170296978
2210000,2404.2343584718287
2220000,378.0234300979671
2230000,592.9862645207179
2240000,1050.9097949493603
2250000,745.6067928452942
2260000,1912.7535547189264
2270000,589.1358791434571
2280000,546.0282335970973
2290000,445.3913317340619
2300000,3268.392868594403
2310000,2321.7371843252286
2320000,2265.5761769006667
2330000,1677.516632844105
2340000,2975.0004924746077
2350000,968.2642686959931
2360000,603.2738825354827
