timesteps,progress,std
10000,4966.556379515698,476.0808264053552
20000,1183.4752913321415,630.1633895530093
30000,2990.903103474901,2190.2222578643314
40000,6019.48436505572,2065.936496349606
50000,4890.206179796763,1983.0531278984042
60000,3612.6959338244405,3061.1015363488
70000,4345.278651686368,2709.57163463331
80000,3148.890262582774,1845.8070269188443
90000,2665.0936294124244,3273.411874378105
100000,4604.377665903183,2188.039024244909
110000,3920.1163062979463,1880.522337357056
120000,4272.610384139031,2654.7620710826386
130000,3025.1945453912094,1763.9682081379603
140000,3946.4611299973376,3042.5235766482383
150000,2128.946328792375,963.4412524038725
160000,5211.982366243541,2209.2580440946417
170000,2657.757892659265,1277.4610693344678
180000,2242.051888342529,2505.3185801188183
190000,3666.107711285869,2921.1323072134437
200000,4451.575221733393,2426.3412139710313
210000,3733.163010801941,1731.325627993522
220000,1831.8564830508924,1020.4628169936701
230000,1377.6522747884128,909.8018261913116
240000,1763.249597300217,1513.5886375583693
250000,1600.8314196740278,251.41098898701992
260000,2436.5362443242743,1676.1740640214714
270000,2817.7412806345383,2307.548321642112
280000,3124.6703960697632,2968.782090929579
290000,2441.809602263356,1574.0388856697407
300000,2104.493319865991,1674.2049856070691
310000,2915.5186291329987,2951.764374936622
320000,2838.358005680189,2141.893200747903
330000,1400.847442029423,124.79221514658411
340000,2661.1131627888326,1683.3507235816164
350000,3092.70862466814,2268.152751507544
360000,1326.5980804084822,899.2729166923048
370000,5831.727339138785,1623.517503827379
380000,1110.7103808700674,839.9899529278375
390000,3032.2394640338352,2036.9258558629185
400000,2036.5355915493938,1988.9661602586675
410000,3667.7505734787405,1536.4742247149861
420000,2675.9254431923246,3135.1338538297405
430000,2547.638335349635,1799.269782919027
440000,5401.91981592255,1540.8474464999865
450000,3752.308923460843,2778.704135842151
460000,5206.821268936745,2457.050837152528
470000,5992.591112412862,2306.4901805668364
480000,1416.0188634806796,729.6046142150282
490000,7215.014683169784,933.369898346609
500000,3160.735226421001,1620.3023705215364
510000,3301.952528483009,2831.0890180089177
520000,4458.421860303107,1824.4673548524797
530000,4149.901899498912,2271.1236126148297
540000,4817.308030853369,3111.716213418324
550000,3605.5001763491837,1857.0735574993826
560000,3115.8725304357577,1535.4547938257624
570000,3458.822160200107,3091.788031652175
580000,4473.140610843107,1748.9729043298942
590000,3639.7891204170537,2328.368821258171
600000,5524.653254490144,3419.3640737318015
610000,3097.6743716830015,2299.909412547057
620000,3512.366381465066,2785.964819437502
630000,3839.646922346802,2265.633447027872
640000,6931.196828200363,2194.037545710606
650000,5134.752029778079,2374.4334446541116
660000,3554.1804004192218,2688.874626802947
670000,4813.800531077675,2928.350218088001
680000,3488.1197413392065,1877.7738267263987
690000,4641.313005517739,3241.163671675466
700000,4142.05910782124,984.3412504518454
710000,5122.797789340164,3470.1597684666644
720000,4156.026586520857,1024.318909204261
730000,5596.907807475398,3274.6523127004953
740000,6480.759272375608,1690.3116985800405
750000,2677.713737753456,1620.1366776376783
760000,3563.6180979759993,1863.1593332592793
770000,3645.6094734259436,3193.7484700963178
780000,3599.6505589026087,3007.966696067932
790000,3184.2298699879793,2301.7506837380142
800000,5916.865913804173,2472.0975509219384
810000,2541.747645967415,2006.1271440538762
820000,2194.8041647503915,1273.2769678602526
830000,5402.1728623649615,2816.57706130383
840000,3575.386375420842,1578.2859467724718
850000,6900.846404593087,2674.035395645876
860000,5051.217505227279,1955.1829953721767
870000,2578.610320174532,1966.8097096042045
880000,4237.468370988492,1967.2888847536792
890000,5261.200202974195,3209.3185051646406
900000,4904.475180747312,2780.6600828191276
910000,3871.3899909054335,2702.613829569141
920000,4824.178476622299,2535.5606564998534
930000,5541.035586091776,3312.679594123432
940000,4137.945192709162,2007.7249757728187
950000,3232.4122792068324,2077.450675442456
960000,6650.198124451317,2163.872028084801
970000,5701.359155191313,1742.669844519337
980000,2023.764574141118,1815.637903482759
990000,5526.509440766334,2199.4754863479357
1000000,3523.902492480288,2611.3193750952582
1035984,5553.130383415025,77.97193999341188
1045984,1879.3525063203506,148.68443370378446
1055984,6634.873190305469,1960.1742020714341
1065984,4688.651693731441,560.5591553104505
1075984,2169.0601796464307,1232.2790799251984
1085984,7899.9473927686,1197.2340250581137
1095984,4111.477616250604,1268.327595153753
1105984,3173.754876103667,2877.9835940133794
1115984,6788.091607897188,1370.8807763046452
1125984,2390.95483033852,1950.9404006901775
1135984,4779.657378638139,2686.4226390979693
1145984,3325.1571885304693,2952.8953117607293
1155984,4865.850516922363,936.0410705276875
