timesteps,progress,std
10000,26.136810893965542,1.7485232226281555
20000,30.887818354324967,16.58181159891544
30000,25.302110263160397,8.74057089407125
40000,54.368888111993385,36.614273013412465
50000,34.17928077951561,13.574918888538821
60000,50.98273071252234,56.65570874657071
70000,47.782194530503915,55.120176723485756
80000,111.84299364582537,75.60018827623864
90000,42.02566642029919,37.697495155911675
100000,282.9796964834323,142.20554652320678
110000,386.3418098487677,198.013890047504
120000,257.6941931159544,151.58254844421785
130000,401.9027021866563,245.68630985608755
140000,104.20862691380407,91.98809150750199
150000,191.54906639807763,229.52826813072878
160000,108.59966426990218,36.53498620968795
170000,307.8367681374098,170.47008239461965
180000,175.5449285347499,128.21547056094562
190000,155.98526185175103,164.26570919050653
200000,215.89454739082322,127.46045660479744
210000,172.61129804450727,64.67824697281574
220000,79.53728367607593,69.84431754053466
230000,255.02368264728227,126.16167082075425
240000,252.77398895708498,222.6996717136121
250000,210.15557085918434,264.31021552792276
260000,135.14636270327046,202.42854272179886
270000,215.10742318938892,146.80900506206765
280000,151.39431967559128,97.30012085405733
290000,95.6781046757257,97.56094207623083
300000,112.73778635916374,103.63356951534546
310000,192.2292123084086,164.12900103884925
320000,282.1334370282659,228.00245852988
330000,302.8299418937239,267.9415384734836
340000,190.00632739097125,158.0832832711376
350000,287.3036564630669,117.58194766221878
360000,64.47299689250202,56.54152838063819
370000,94.72494172831718,129.714192287902
380000,186.60705658143422,175.4463227088471
390000,305.85303754251095,95.48517338538015
400000,239.79321934398803,133.8235994695377
410000,376.7115943008419,207.9902922292401
420000,297.5366119339501,184.31571540374742
430000,328.92673556245063,189.1598198316559
440000,354.92956968228924,285.5365246352492
450000,321.28828252326093,533.4714133123845
460000,591.8394576726964,389.13832067153567
470000,842.8503922336921,571.569157905512
480000,416.94338553413155,777.0806488448824
490000,567.714867599251,860.1504409139845
500000,558.4700918881845,252.42058294531682
510000,740.0388453014641,588.6384633105139
520000,895.7529328066321,662.4546684446857
530000,1504.7852656059597,736.2110703763418
540000,878.5601746317354,797.2995986850457
550000,1423.5322735911175,738.3803649116044
560000,1519.7645909022624,875.1812089436597
570000,3007.672547204092,1506.0883639407768
580000,1145.2432859639998,803.4289062047478
590000,3442.8484192328415,1983.250716359572
600000,1760.4836714272697,2582.0227575144354
610000,1006.8670545241823,1321.2123335014003
620000,2383.2017178036886,1374.9446057604018
630000,3536.5608153704734,2411.5905271242063
640000,3604.0757583072946,2440.4190712437216
650000,4164.95063894611,2913.2180620179856
660000,3262.059569926398,2664.3059548559995
670000,4575.148957999044,2206.6468855900566
680000,4665.133094852925,3294.344814080231
690000,3987.3926922491933,2321.4881625524877
700000,1889.3298020173695,574.1317212502784
710000,4713.8174600941475,1408.5218393720288
720000,2985.4491539611467,2181.49447715121
730000,2429.7517203207913,1639.42888399854
740000,2410.839650993028,1119.7190411377428
750000,7415.682963634805,1252.9943264615215
760000,1867.3652633639667,1425.4819261471196
770000,4859.3272009022385,2440.0263068744725
780000,4879.204458511948,3268.036755445318
790000,2958.07584470856,1934.9357001680166
800000,4170.590916664834,3107.1412808730884
810000,4190.880032671397,2330.715973225197
820000,2361.6132012428275,1781.4823020301108
830000,5154.293506912172,2772.5257338641995
840000,2798.5049216188518,1400.342881792059
850000,5528.531290142308,3072.897686011793
860000,2887.2262130395375,1722.752757544307
870000,5043.57983106476,2909.5265983853274
880000,3640.3908754596423,3929.703819287194
890000,4290.63218332993,1838.317523398699
900000,7026.52095656265,3248.927215113774
910000,3058.960799108032,1438.8918091061187
920000,5761.447831385384,3301.989069065075
930000,4505.116673492651,2701.7681300984927
940000,7477.771238330878,2798.319215962371
950000,5274.940376646817,2201.2380681911404
960000,8097.994958425982,2785.991032604182
970000,4505.184360443123,2500.709349240702
980000,7255.650507354962,2136.5702071074984
990000,4082.3780600367586,2836.1175953220163
1000000,4085.424398405795,3301.180710032883
1010000,6912.8204353162055,2528.5561080771245
1020000,3190.8340723561205,3378.5591789904174
1030000,2353.5182780748833,1581.4890459393214
1040000,5779.426672892631,1855.9370124401116
1050000,56.87186421168572,66.81133245444234
1060000,1041.490183799147,113.4055725952666
1070000,4664.383877084441,2719.00449481284
1080000,2900.1484133099375,1197.1319656285748
1090000,7296.90130100611,1800.7379829418933
1100000,5130.137439156264,3452.317822835959
1110000,6501.150212044408,2552.043395904669
1120000,5502.441751978707,3485.768604062097
1130000,4836.4313063076115,3807.694397094828
1140000,7890.025810912527,1753.31449370418
1150000,4904.603057970082,3967.225473517978
1160000,7313.29829125685,2295.2226009757624
1170000,6846.452005848463,4107.646936293432
1180000,6654.184966816854,1742.2658435465773
1190000,4568.441352068343,3775.924613653742
1200000,7440.547472637936,1294.2483035594878
1210000,4522.103584776768,3776.693972036401
1220000,5304.41507657072,3289.6541137821123
1230000,5217.553157900118,3543.7866552699497
1240000,5391.477092612206,3279.586390487571
1250000,5277.05433981812,3607.659996256054
1260000,3569.05113799267,3512.161060889438
1270000,5749.154532924078,3620.26581432705
1280000,2851.8934400810185,2638.5214789067504
1290000,5710.743083572732,3462.998964926784
1300000,2839.0140735749237,2633.8748419104304
1310000,3326.4622389276487,2157.387499255403
1320000,6360.243526381951,3831.3347097800984
1330000,3523.2935624960883,1844.1272833107732
1340000,6581.816289919554,3688.5357720592338
1350000,3551.6676109014406,1887.3285438098262
1360000,6633.911984587676,3732.057742042934
1370000,2849.016847019354,1624.3809844368466
1380000,4578.842793470296,3208.6227724871246
1390000,4523.7113115686225,2641.3425868730487
1400000,3482.2366601186422,2535.284148605594
1410000,4343.54366048142,3288.8915986980414
1420000,5102.0324127793365,1395.9715054448125
1430000,6182.1448324516405,3604.963350542
1440000,6083.93203760149,2218.821298634645
1450000,5885.720970772598,3506.109349709244
1460000,5931.697599776052,2195.071814798362
1470000,5856.457677847391,3578.382520855605
1480000,5979.857109326731,2109.577961823142
1490000,5854.012404218312,3617.957406674489
1500000,5847.052520890243,2020.071308752672
1510000,3914.9033904116654,2832.3656838939855
1520000,4965.524380211122,2641.647823280151
1530000,4803.113351249995,3046.536038140494
1540000,4369.427908439474,2191.518593024563
1550000,5075.078897412866,4044.044741830758
1560000,5181.9928730939355,2122.420826118494
1570000,4411.128429007488,1930.1169058164633
1580000,4811.901018665671,3299.424353933103
1590000,7573.498287682593,2143.9582230623846
1600000,4825.589586626699,3230.473921709044
1610000,4394.033803771152,3419.7993966617905
1620000,4457.071593291962,2286.0430176205696
1630000,4290.864828581669,3583.990399700393
1640000,4247.471964145583,2225.463925283554
1650000,3341.452701715616,3204.6606960168037
1660000,5590.83548585315,1807.4359234445728
1670000,5662.889752554962,4192.486190738235
1680000,5034.888615085052,2205.880032707832
1690000,7760.810302421574,2856.579650939678
1700000,4429.793977917594,2587.8285157444507
1710000,5057.093850889249,4262.325788230056
1720000,3126.7420084987516,2469.999689586949
1730000,3739.7510955123903,2655.043575930154
1740000,4026.156276570483,2036.4179412875658
1750000,5077.040622329289,3668.2506348465995
1760000,4857.6398390560025,2355.5343404828036
1770000,3760.5843963207844,3308.804562538743
1780000,5940.64225180912,1886.9217007078562
1790000,5941.052015628913,3638.8786219415497
1800000,4973.2793463623975,3044.400210204798
1810000,4331.190268981166,3691.9915369146743
1820000,3961.994454083746,2525.6948387114007
1830000,6616.522624172441,3119.4066665529112
1840000,3985.2740022308,2549.0630399191004
1850000,6657.48173501396,3056.019058136671
1860000,4068.2763823716673,2629.6326685095814
1870000,6690.16388224666,3114.7136857911173
1880000,3201.54792089317,2896.3856608167453
1890000,5581.664051965459,2211.3717886589666
1900000,1535.9363078093656,1237.5841287747735
1910000,6257.13175048582,1604.182817515987
1920000,3992.773412211815,4192.991615462892
1930000,5772.006643798371,2089.601350563951
1940000,5711.471801498026,3858.295912093478
1950000,2845.5955085067426,1652.1133692919975
1960000,5178.728095364859,3047.911317128081
1970000,4898.105478450787,3378.162040646013
1980000,7317.993379035761,1617.3297570902907
1990000,5506.707140871983,2735.133315812761
2000000,8301.799222295487,2038.0635656139284
