lap_time,s1,s2,s3,timestamp
56.19999999999898,17.359999999999808,31.35999999999951,42.759999999999266,5744
55.79999999999899,15.639999999999842,29.87999999999954,42.279999999999276,11324
55.71999999999899,17.19999999999981,30.559999999999526,42.15999999999928,13792
55.519999999998994,15.959999999999836,30.079999999999536,41.95999999999928,17428
54.87999999999901,15.31999999999985,29.51999999999955,41.2399999999993,37384
54.75999999999901,15.599999999999843,29.51999999999955,41.2799999999993,38660
54.39999999999902,15.75999999999984,28.799999999999564,40.919999999999305,52436
54.31999999999902,15.239999999999851,29.03999999999956,40.919999999999305,115004
54.27999999999902,15.27999999999985,29.199999999999555,40.75999999999931,192724
54.079999999999025,15.27999999999985,29.079999999999558,40.67999999999931,269268
53.95999999999903,15.199999999999852,28.759999999999565,40.479999999999315,313000
53.87999999999903,15.039999999999855,24.519999999999655,40.35999999999932,487716
53.83999999999903,15.27999999999985,28.599999999999568,40.39999999999932,513032
53.559999999999036,15.359999999999848,28.359999999999573,40.15999999999932,527384
53.43999999999904,15.039999999999855,24.399999999999658,39.999999999999325,556224
55.999999999998984,17.31999999999981,30.599999999999525,42.55999999999927,605724
55.239999999999,16.119999999999834,29.95999999999954,41.879999999999285,611344
54.83999999999901,16.35999999999983,29.679999999999545,41.399999999999295,611368
53.67999999999903,15.239999999999851,24.75999999999965,40.31999999999932,616712
53.639999999999034,15.079999999999854,24.879999999999647,40.519999999999314,783300
53.51999999999904,15.119999999999854,28.719999999999565,40.39999999999932,800032
53.39999999999904,14.879999999999859,28.279999999999575,40.23999999999932,834684
53.23999999999904,14.879999999999859,28.199999999999577,39.999999999999325,887340
53.119999999999045,14.719999999999862,28.159999999999577,39.91999999999933,913796
52.51999999999906,15.039999999999855,27.51999999999959,39.31999999999934,924660
54.67999999999901,16.679999999999822,29.91999999999954,41.55999999999929,1031576
52.51999999999906,15.31999999999985,27.679999999999588,39.35999999999934,1036828
52.07999999999907,14.639999999999864,27.279999999999596,38.95999999999935,1089876
51.95999999999907,14.79999999999986,27.1199999999996,38.83999999999935,1158092
51.719999999999075,14.559999999999865,26.959999999999603,38.67999999999935,1189836
51.43999999999908,14.559999999999865,26.919999999999604,38.43999999999936,1436604
51.39999999999908,14.599999999999865,26.759999999999607,38.47999999999936,1614928
51.239999999999085,14.79999999999986,26.879999999999605,38.39999999999936,1864024
